Designator,Mid X,Mid Y,Rotation,Layer
C1,85.033,-110.0,33.7,top
C10,118.0,-137.5,90.0,top
C11,93.0,-130.0,270.0,top
C12,70.5,-81.0,270.0,top
C13,121.0,-122.5,270.0,top
C14,123.0,-122.5,270.0,top
C15,126.5,-126.0,0.0,top
C16,68.5,-81.0,270.0,top
C17,130.0,-117.5,0.0,top
C18,79.5,-76.5,90.0,top
C19,77.5,-76.5,90.0,top
C2,90.0,-114.967,56.2,top
C20,102.0,-103.5,180.0,top
C21,127.0,-117.5,180.0,top
C22,73.0,-72.5,180.0,top
C23,72.5,-69.5,270.0,top
C24,81.0,-135.0,270.0,top
C25,79.0,-135.0,270.0,top
C26,63.5,-118.0,180.0,top
C27,100.0,-64.5,180.0,top
C28,80.0,-132.5,0.0,top
C29,67.5,-110.5,90.0,top
C3,110.0,-114.967,123.7,top
C4,114.967,-110.0,146.2,top
C5,114.967,-90.0,213.7,top
C6,110.0,-85.033,236.2,top
C7,90.0,-85.033,303.7,top
C8,85.033,-90.0,326.2,top
C9,118.0,-133.5,270.0,top
D1,83.693278,-106.620117,292.5,top
D2,93.245246,-116.191628,337.5,top
D3,106.620117,-116.306722,22.5,top
D4,116.191628,-106.754754,67.5,top
D5,116.306722,-93.379883,112.5,top
D6,106.754754,-83.808372,157.5,top
D7,93.379883,-83.693278,202.5,top
D8,83.808372,-93.245246,247.5,top
H1,105.125427,-108.877499,0.0,top
H2,89.749146,-100.0,0.0,top
H3,105.125427,-91.1225,0.0,top
H4,100.0,-129.8,0.0,top
H5,70.2,-100.0,0.0,top
H6,100.0,-70.2,0.0,top
H7,129.8,-100.0,0.0,top
H8,135.0,-100.0,0.0,top
H9,65.0,-100.0,0.0,top
J1,116.108893,-116.338351,135.0,bottom
J2,100.0,-140.6,0.0,top
L1,75.75,-76.5,270.0,top
Q1,73.5,-80.0,180.0,top
Q2,79.5,-138.5,180.0,top
R1,94.5,-133.0,180.0,top
R10,133.5,-134.5,270.0,top
R11,135.0,-134.5,270.0,top
R12,136.5,-134.5,270.0,top
R13,63.0,-109.0,180.0,top
R14,64.0,-110.5,180.0,top
R15,69.0,-108.0,0.0,top
R16,70.0,-106.5,180.0,top
R17,80.0,-131.0,180.0,top
R18,123.5,-100.0,0.0,bottom
R19,115.6,-100.0,0.0,bottom
R2,105.5,-133.0,0.0,top
R20,84.4,-100.0,180.0,bottom
R21,76.5,-100.0,180.0,bottom
R3,73.0,-75.5,180.0,top
R4,73.0,-74.0,0.0,top
R5,75.0,-70.5,0.0,top
R6,75.0,-69.0,180.0,top
R7,129.0,-134.5,270.0,top
R8,130.5,-134.5,270.0,top
R9,132.0,-134.5,270.0,top
U1,100.0,-100.0,90.0,top
U2,70.0,-128.3625,180.0,top
U3,88.5,-133.5,270.0,top
U4,67.5,-74.0,90.0,top
U5,128.0,-122.0,180.0,top
U6,123.5,-135.5,180.0,top
U7,68.5,-114.5,270.0,top
U8,100.0,-61.0,0.0,bottom
U9,112.0,-135.5,0.0,top
